model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows
training_mean,1,User01,overall,all,temperature,mae,2.734975170432229,,289437
training_mean,1,User01,overall,all,temperature,rmse,3.180678089712951,,289437
training_mean,1,User01,overall,all,temperature,bias,2.6371483450922977,,289437
training_mean,1,User01,overall,all,humidity,mae,23.057883807414225,,289437
training_mean,1,User01,overall,all,humidity,rmse,24.666100333488156,,289437
training_mean,1,User01,overall,all,humidity,bias,22.23234574387157,,289437
training_mean,1,User01,sensor_phase,s1,temperature,mae,2.058886919829247,,151883
training_mean,1,User01,sensor_phase,s1,temperature,rmse,2.4592326465535237,,151883
training_mean,1,User01,sensor_phase,s1,temperature,bias,1.9028239061923415,,151883
training_mean,1,User01,sensor_phase,s1,humidity,mae,24.22547659792293,,151883
training_mean,1,User01,sensor_phase,s1,humidity,rmse,25.709954889355192,,151883
training_mean,1,User01,sensor_phase,s1,humidity,bias,22.66066974923578,,151883
training_mean,1,User01,sensor_phase,s2,temperature,mae,3.48149153321581,,137554
training_mean,1,User01,sensor_phase,s2,temperature,rmse,3.8222319471948056,,137554
training_mean,1,User01,sensor_phase,s2,temperature,bias,3.4479673598315426,,137554
training_mean,1,User01,sensor_phase,s2,humidity,mae,21.76866287744611,,137554
training_mean,1,User01,sensor_phase,s2,humidity,rmse,23.459612590764003,,137554
training_mean,1,User01,sensor_phase,s2,humidity,bias,21.759403227429058,,137554
training_mean,2,User02,overall,all,temperature,mae,4.591746941300422,,143999
training_mean,2,User02,overall,all,temperature,rmse,4.9857234906260235,,143999
training_mean,2,User02,overall,all,temperature,bias,-4.591746941300422,,143999
training_mean,2,User02,overall,all,humidity,mae,27.62948740904652,,143999
training_mean,2,User02,overall,all,humidity,rmse,31.081750244801675,,143999
training_mean,2,User02,overall,all,humidity,bias,-27.494997552304806,,143999
training_mean,2,User02,device,22480,temperature,mae,3.1971641017687715,,57491
training_mean,2,User02,device,22480,temperature,rmse,3.282375359763148,,57491
training_mean,2,User02,device,22480,temperature,bias,-3.1971641017687715,,57491
training_mean,2,User02,device,22480,humidity,mae,20.179243128869008,,57491
training_mean,2,User02,device,22480,humidity,rmse,21.394651047772456,,57491
training_mean,2,User02,device,22480,humidity,bias,-20.11726112683956,,57491
training_mean,2,User02,device,22482,temperature,mae,5.5185509597439655,,86508
